,city,popu_string
717,Марьянская,11887.0
718,Юго-Камский,8019.0
719,Большое Болдино,5074.0
720,Даниловка,
721,Колывань,12429.0
722,Голубицкая,5570.0
723,Октябрьская,
724,Шарлык,
725,Мошково,9856.0
726,Светлый Яр,11749.0
727,Новосемейкино,9941.0
728,Муромцево,
729,Михайловское,90698.0
730,Кашары,6529.0
731,Кулешовка,124705.0
732,Томаровка,7914.0
733,Приобье,6783.0
734,Старомышастовская,10610.0
735,Новоузенск,
736,Чесма,
737,Мышкин,5738.0
738,Ленинский,15149.0
739,Арсеньево,
740,Верхний Услон,4499.0
741,Сосновское,8247.0
742,Сеченово,7200.0
743,Азовская,
744,Верхняя Тура,9039.0
745,Болгар,8571.0
746,Туринск,17316.0
747,Рудня,9484.0
748,Ильиногорск,7363.0
749,Гагино,
750,Быково,
751,Кизильское,6651.0
752,Верхняя Хава,8154.0
753,Родионово-Несветайская,
754,Ивдель,16090.0
755,Викулово,6995.0
756,Омутинское,9201.0
757,Сим,
758,Оханск,7072.0
759,Агаповка,6561.0
760,Муслюмово,464.0
761,Куйтун,9487.0
762,Аскарово,
763,Нижняя Тавда,6846.0
764,Караидель,5980.0
765,Мулино,62175.0
766,Бижбуляк,6446.0
767,Нижняя Салда,17380.0
768,Обливская,9908.0
769,Богандинский,10348.0
770,Шаран,5929.0
771,Глубокий,18921.0
772,Летняя Ставка,4437.0
773,Троицкое,
774,Дальнее Константиново,4133.0
775,Пятигорский,145885.0
776,Чунский,14135.0
777,Игрим,7477.0
778,Сузун,15491.0
779,Исянгулово,7418.0
780,Пышма,70160.0
781,Алексеевская,
782,Большая Глушица,9667.0
783,Шерегеш,10109.0
784,Благовещенка,11565.0
785,Петров Вал,12177.0
786,Болотное,15629.0
787,Миньяр,9342.0
788,Рассвет,
789,Чердынь,4687.0
790,Ермаковское,8557.0
791,Нововеличковская,9169.0
792,Кавказская,10555.0
793,Абатское,7959.0
794,Коченево,16956.0
795,Языково,
796,Каменка,36566.0
797,Рощино,
798,Архангельское,349742.0
799,Заветное,6633.0
800,Дивноморское,6358.0
801,Северный,
802,Янтарный,5529.0
803,Абан,
804,Анастасиевская,10569.0
805,Винсады,9103.0
806,Култаево,7562.0
807,Актюбинский,417471.0
808,Новошешминск,4594.0
809,Ладушкин,4007.0
810,Арти,12997.0
811,Славск,4145.0
812,Малояз,
813,Купино,13781.0
814,Вознесенское,406113.0
815,Яя,
816,Акъяр,
817,Березанская,6968.0
818,Богучаны,11232.0
819,Апастово,5340.0
820,Елизаветинская,
821,Сухобузимское,4293.0
822,Камское Устье,4427.0
823,Одоев,5559.0
824,Ольгинская,5613.0
825,Вольгинский,5876.0
826,Большая Соснова,4864.0
827,Натухаевская,6922.0
828,Новая Ляля,11947.0
829,Топчиха,8906.0
830,Усть-Кинельский,11384.0
831,Боковская,5086.0
832,Воронежская,1058547.0
833,Сюмси,5250.0
834,Якшур-Бодья,7211.0
835,Пестравка,6500.0
836,Белореченский,52082.0
837,Новоорск,11295.0
838,Яшкино,13884.0
839,Кизнер,9805.0
840,Львовское,
841,Милютинская,2518.0
842,Головчино,4716.0
843,Кошки,
844,Гостагаевская,9772.0
845,Сладково,
846,Серафимовский,9813.0
847,Стародеревянковская,12998.0
848,Платнировская,12004.0
849,Гигант,
850,Боголюбово,4494.0
851,Пелагиада,6859.0
852,Шаранга,6692.0
853,Верхнее Дуброво,5120.0
854,Новосмолинский,5587.0
855,Ерзовка,79168.0
856,Большое Мурашкино,5080.0
857,Пильна,6849.0
858,Селты,5204.0
859,Ребриха,8182.0
860,Солнечный,
861,Курумоч,
862,Нововаршавка,6093.0
863,Петровское,13500.0
864,Аскино,
865,Озерки,25359.0
866,Частые,632372.0
867,Нижние Серги,9424.0
868,Шербакуль,6595.0
869,Спасское,442.0
870,Большой Исток,7281.0
871,Гамово,
872,Сокольское,
873,Должанская,95153.0
874,Бисерть,9574.0
875,Покровское,225752.0
876,Теплое,
877,Агроном,
878,Новый Некоуз,3816.0
879,Шиханы,
880,Кунашак,6296.0
881,Приволжье,
882,Бердюжье,
883,Солдато-Александровское,9516.0
884,Павлоградка,7154.0
885,Краснобродский,11715.0
886,Усолье,77989.0
887,Балакирево,9631.0
888,Шипуново,57032.0
889,Мегет,8918.0
890,Нижнебаканская,8277.0
891,Хабары,
892,Полетаево,6500.0
893,Криводановка,10051.0
894,Курлово,6141.0
895,Асекеево,5201.0
896,Краснощеково,4848.0
897,Кукуштан,5305.0
898,Салаир,7589.0
899,Пречистое,4692.0
900,Чернышковский,5130.0
901,Верхние Киги,6637.0
902,Аромашево,5373.0
903,Мингрельская,5112.0
904,Старотитаровская,12968.0
905,Тугулым,5658.0
906,Баранчинский,9461.0
907,Ташла,815.0
908,Уват,
909,Волово,
910,Орда,
911,Анапская,16107.0
912,Ярково,
913,Знаменск,26934.0
914,Уральский,306549.0
915,Советское,15538.0
916,Архангельская,349742.0
917,Крапивинский,7375.0
918,Мамоново,8056.0
919,Ирбейское,4687.0
920,Инской,12099.0
921,Новолеушковская,6462.0
922,Клетская,5323.0
923,Старая Полтавка,4159.0
924,Трудобеликовский,9393.0
925,Большеустьикинское,7839.0
926,Подстепки,9944.0
927,Ковернино,6869.0
928,Старобалтачево,5598.0
929,Северное,
930,Шелаболиха,
931,Ижморский,4879.0
932,Новодеревянковская,6795.0
933,Александрийская,
934,Елово,83486.0
935,Маслова Пристань,6048.0
936,Новоблагодарное,3263.0
937,Большое Село,3818.0
938,Переясловская,8424.0
939,Краснозерское,9216.0
940,Темиргоевская,7462.0
941,Решетиха,6750.0
942,Межозерный,6976.0
943,Ивановская,1796.0
944,Краснохолмский,8021.0
945,Базарные Матаки,5899.0
946,Сокольники,
947,Любим,5125.0
948,Гремячинск,9000.0
949,Советская,40486.0
950,Усть-Качка,4350.0
951,Родино,
952,Балахта,6490.0
953,Шаркан,6523.0
954,Преображенская,
955,Шолоховский,7588.0
956,Стерлибашево,5930.0
957,Кировская,
958,Ярославская,
959,Курчанская,6600.0
960,Новобатайск,5340.0
961,Каракулино,4724.0
962,Вавож,5721.0
963,Бородинский,
964,Верхнерусское,5276.0
965,Буланаш,12504.0
966,Калманка,3203.0
967,Двуреченск,4935.0
968,Новобелокатай,5961.0
969,Салым,6554.0
970,Белый Яр,165.0
971,Каскара,
972,Небуг,3972.0
973,Репьевка,59123.0
974,Новокорсунская,4945.0
975,Городищи,
976,Отрадное,25421.0
977,Киясово,3200.0
978,Ремонтное,6704.0
979,Рязанская,538962.0
980,Первомайское,
981,Марьинская,15822.0
982,Большая Черниговка,6693.0
983,Григорополисская,8988.0
984,Ачикулак,5936.0
985,Бриньковская,5109.0
986,Дубовское,8544.0
987,Боровиха,7507.0
988,Краснотуранск,5478.0
989,Шентала,6613.0
990,Зилаир,5585.0
991,Вишневогорск,4219.0
992,Новоегорьевское,
993,Сакмара,
994,Куркино,
995,Красное,56758.0
996,Андреево,
997,Латная,7379.0
998,Петровская,
999,Прибрежный,
1000,Усть-Кишерть,4617.0
1001,Уинское,4304.0
1002,Саргатское,8028.0
1003,Красногорское,161525.0
1004,Горьковское,
1005,Верхние Серги,5702.0
1006,Чулым,11270.0
